generation,candidate,formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral
3,"['Sr', 'Cr', 'Mo']",Sr2CrMoO6,Sr,Cr,Mo,0.425889936847043,1.074110063152957,0.011224220177322625,-2.659431673213851,True
1,"['Mg', 'Mo', 'Ni']",Mg2MoNiO6,Mg,Mo,Ni,0.4349805059882337,1.753693281984128,0.06812872240041057,-2.3170720511025094,True
1,"['Mg', 'Co', 'Sb']",Mg2CoSbO6,Mg,Co,Sb,0.43523221273777596,1.2942009656565647,0.07294331783943407,-2.351319296400255,True
1,"['Rb', 'Sn', 'Mo']",Rb2SnMoO6,Rb,Sn,Mo,0.439195102460318,1.939195102460318,0.011769997727893194,-2.3240415402785692,True
1,"['La', 'Hf', 'Cu']",La2HfCuO6,La,Hf,Cu,0.45608591452380987,1.9560859145238099,0.034807957288737895,-3.1673134966594367,True
1,"['Mg', 'Mn', 'Zr']",Mg2MnZrO6,Mg,Mn,Zr,0.4573295963989701,1.3138643510317463,0.07711939474307164,-2.9924498928653436,True
2,"['Ca', 'Mo', 'In']",Ca2MoInO6,Ca,Mo,In,0.45858155629148767,1.9585815562914877,0.022244494275504022,-2.6108986476280345,True
4,"['Sr', 'Mo', 'Ti']",Sr2MoTiO6,Sr,Mo,Ti,0.4629576272222231,1.0370423727777769,0.013033858196263015,-2.885967117175097,True
1,"['Y', 'Hf', 'Ni']",Y2HfNiO6,Y,Hf,Ni,0.46480342158730115,1.9648034215873011,0.02143595099397893,-3.1596807983694495,True
1,"['Ba', 'Cr', 'Co']",Ba2CrCoO6,Ba,Cr,Co,0.4679585997619049,1.032041400238095,0.029652040427147437,-2.740491853288182,True
1,"['K', 'Mn', 'W']",K2MnWO6,K,Mn,W,0.48889047420634846,1.0111095257936515,0.026657069972108174,-2.58604736925932,True
2,"['Ca', 'W', 'V']",Ca2WVO6,Ca,W,V,0.5069138338888903,0.9930861661111097,0.04524958366856677,-2.810501494440521,True
1,"['Ba', 'Mn', 'W']",Ba2MnWO6,Ba,Mn,W,0.5189776801587298,2.01897768015873,0.005218395920388941,-2.7507290847913266,True
2,"['Y', 'Hf', 'Cu']",Y2HfCuO6,Y,Hf,Cu,0.5208887590476183,2.0208887590476183,0.032068614422170016,-3.1598999059527024,True
1,"['K', 'Nb', 'Ta']",K2NbTaO6,K,Nb,Ta,0.527153213109667,2.027153213109667,0.011907697531405186,-2.9734593803056066,True
1,"['K', 'Ta', 'Nb']",K2TaNbO6,K,Ta,Nb,0.5271532131096675,2.0271532131096675,0.011907697531405186,-2.9734593803056066,True
1,"['Y', 'Cu', 'Zr']",Y2CuZrO6,Y,Cu,Zr,0.5289678261904762,2.028967826190476,0.027789230719371,-3.132431431366301,True
8,"['Ca', 'Ta', 'Co']",Ca2TaCoO6,Ca,Ta,Co,0.5721293753174601,0.9278706246825399,0.022158366010968877,-2.8873906341078484,True
1,"['Ba', 'Ni', 'Mo']",Ba2NiMoO6,Ba,Ni,Mo,0.5923103145238104,2.0923103145238104,0.006483853452788835,-2.442595017735494,True
12,"['Sr', 'Ta', 'Bi']",Sr2TaBiO6,Sr,Ta,Bi,0.5965116619047608,2.096511661904761,0.039550906842001333,-2.881565908812764,True
3,"['Sr', 'Mo', 'Ni']",Sr2MoNiO6,Sr,Mo,Ni,0.6006865562698449,2.100686556269845,0.007840371635192982,-2.467713926701051,True
5,"['Sr', 'V', 'Mo']",Sr2VMoO6,Sr,V,Mo,0.6089328416089477,0.8910671583910523,0.013584442885545526,-2.756837002156248,True
1,"['Ca', 'Cr', 'Nb']",Ca2CrNbO6,Ca,Cr,Nb,0.6389033550000014,2.1389033550000014,0.0072559804746376326,-3.070659014475589,True
